Category: All categories

Week,Bitcoin: (Worldwide)
2020-01-05,17
2020-01-12,17
2020-01-19,16
2020-01-26,17
2020-02-02,17
2020-02-09,20
2020-02-16,18
2020-02-23,18
2020-03-01,17
2020-03-08,31
2020-03-15,31
2020-03-22,23
2020-03-29,20
2020-04-05,20
2020-04-12,18
2020-04-19,19
2020-04-26,25
2020-05-03,28
2020-05-10,32
2020-05-17,22
2020-05-24,19
2020-05-31,21
2020-06-07,18
2020-06-14,17
2020-06-21,17
2020-06-28,16
2020-07-05,16
2020-07-12,17
2020-07-19,16
2020-07-26,26
2020-08-02,24
2020-08-09,21
2020-08-16,21
2020-08-23,18
2020-08-30,20
2020-09-06,18
2020-09-13,16
2020-09-20,15
2020-09-27,14
2020-10-04,14
2020-10-11,15
2020-10-18,21
2020-10-25,22
2020-11-01,24
2020-11-08,25
2020-11-15,34
2020-11-22,37
2020-11-29,33
2020-12-06,26
2020-12-13,43
2020-12-20,43
2020-12-27,63
2021-01-03,100
2021-01-10,96
2021-01-17,64
2021-01-24,60
2021-01-31,53
2021-02-07,91
2021-02-14,88
2021-02-21,98
2021-02-28,64
2021-03-07,66
2021-03-14,64
2021-03-21,60
2021-03-28,55
2021-04-04,52
2021-04-11,65
