id,Country,Date,Measure_L1,Measure_L2,Measure_L3
ALB,Albania,2020-02-25,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine
ALB,Albania,2020-02-25,Resource allocation,Crisis management plans,Financial aid for health system
ALB,Albania,2020-02-25,Public Healthcare,Adapt procedures for patient management,Implement triage procedures
ALB,Albania,2020-02-25,Contact tracing,Airport health check,Specific health channel for travellers
ALB,Albania,2020-03-08,Travel restriction,Airport restriction,Cancellation of international flights
ALB,Albania,2020-03-08,Social distancing,Closure of educational institutions,Closure of kindergartens
ALB,Albania,2020-03-08,Social distancing,Closure of educational institutions,Closure of primary and secondary schools
ALB,Albania,2020-03-08,Social distancing,Closure of educational institutions,Closure of universities
ALB,Albania,2020-03-08,Social distancing,Indoor and outdoor gathering restriction,Complete prohibition of gathering
ALB,Albania,2020-03-08,Social distancing,Indoor and outdoor gathering restriction,Sport events
ALB,Albania,2020-03-09,Travel restriction,Airport restriction,Cancellation of international flights
ALB,Albania,2020-03-10,Social distancing,Indoor gathering restriction,Closure of indoor sport facilities
ALB,Albania,2020-03-10,Social distancing,Indoor gathering restriction,Closure of restaurants/bars/cafes
ALB,Albania,2020-03-10,Social distancing,Closure of educational institutions,Closure of specific schools/educational programmes
ALB,Albania,2020-03-10,Public Healthcare,Increase healthcare workforce,Incentives for healthcare workers
ALB,Albania,2020-03-10,Resource allocation,Police and army interventions,To support law enforcement/sanction in case of no compliance
ALB,Albania,2020-03-10,Travel restriction,National lockdown,
ALB,Albania,2020-03-11,Social distancing,Indoor gathering restriction,Places of worship
ALB,Albania,2020-03-12,Social distancing,Indoor gathering restriction,Places of worship
ALB,Albania,2020-03-12,Social distancing,Indoor gathering restriction,Places of worship
ALB,Albania,2020-03-12,Social distancing,Indoor gathering restriction,Places of worship
ALB,Albania,2020-03-14,Travel restriction,Airport restriction,Cancellation of international flights
ALB,Albania,2020-03-14,Risk communication,Educate and actively communicate with the public,Encourage stay at home
ALB,Albania,2020-03-15,Social distancing,Indoor gathering restriction,Cultural places and events
ALB,Albania,2020-03-16,Public Healthcare,Increase in medical supplies and equipment,Ban on exportation of medical equipment and drugs
ALB,Albania,2020-03-16,Travel restriction,Airport restriction,Cancellation of international flights
ALB,Albania,2020-03-16,Social distancing,Outdoor gathering restriction,Closure of outdoor social spaces
ALB,Albania,2020-03-16,Contact tracing,Tracing and tracking,Contact tracing
ALB,Albania,2020-03-16,Travel restriction,Individual movement restrictions,Curfew
ALB,Albania,2020-03-16,Contact tracing,Enhance detection system,Extend test criteria
ALB,Albania,2020-03-16,Travel restriction,Border restriction,Land borders closed
ALB,Albania,2020-03-16,Public Healthcare,Increase healthcare workforce,Mobilization of domestic resources for health
ALB,Albania,2020-03-16,Resource allocation,Crisis management plans,"State aid, taxation and social security"
ALB,Albania,2020-03-16,Resource allocation,Police and army interventions,To support law enforcement/sanction in case of no compliance
ALB,Albania,2020-03-25,Public Healthcare,Increase availability of PPE,Face masks
ALB,Albania,2020-03-25,Risk communication,Educate and actively communicate with the public,Inform and/or answer to questions
ALB,Albania,2020-03-25,Public Healthcare,Increase isolation and quarantine facilities,Isolation centers
ALB,Albania,2020-03-25,Public Healthcare,Increase availability of PPE,PPE for healthcare professionals
ALB,Albania,2020-03-25,Public Healthcare,Increase in medical supplies and equipment,Respirators
