date,hashtag,count
2020-01-08,#china,1
2020-01-08,#sars,1
2020-01-08,#mers,1
2020-01-09,#ccp,2
2020-01-09,#wars,2
2020-01-09,#coronavirus,1
2020-01-09,#wuhan,1
2020-01-10,#wuhanpneumonia,1
2020-01-10,#wuhan,1
2020-01-10,#coronavirus,1
2020-01-10,#bat,1
2020-01-10,#sars,1
2020-01-10,#mers,1
2020-01-11,#coronavirus,2
2020-01-11,#china,1
2020-01-11,#death,1
2020-01-11,#rt,1
2020-01-11,#wuhanpneumonia,1
2020-01-12,#wuhan,1
2020-01-12,#coronavirus,1
2020-01-13,#coronavirus,1
2020-01-17,#coronavirus,5
2020-01-17,#china,2
2020-01-17,#ncov,2
2020-01-17,#america,1
2020-01-17,#who,1
2020-01-17,#japan,1
2020-01-17,#wuhan,1
2020-01-18,#china,3
2020-01-18,#coronavirus,3
2020-01-18,#virus,1
2020-01-18,#news,1
2020-01-18,#diseasehttps,1
2020-01-18,#ccp,1
2020-01-18,#wuhanpneumonia,1
2020-01-18,#uk,1
2020-01-20,#coronavirus,17
2020-01-20,#china,5
2020-01-20,#health,3
2020-01-20,#wuhan,2
2020-01-20,#japan,2
2020-01-20,#fbpe,1
2020-01-20,#fbrhttps,1
2020-01-20,#938,1
2020-01-20,#chinesepneumonia,1
2020-01-20,#who,1
2020-01-20,#beijing,1
2020-01-20,#shenzhen,1
2020-01-20,#pneumonia,1
2020-01-20,#mers,1
2020-01-20,#wuhanpneumonia,1
2020-01-20,#sars,1
2020-01-20,#virus,1
2020-01-20,#chinavirus,1
2020-01-20,#hoax,1
2020-01-21,#coronavirus,23
2020-01-21,#china,4
2020-01-21,#chears,2
2020-01-21,#breaking,1
2020-01-21,#9newshttps,1
2020-01-21,#opinión,1
2020-01-21,#ssot,1
2020-01-21,#ศาสตร,1
2020-01-21,#australia,1
2020-01-21,#brisbane,1
2020-01-21,#wuhan,1
2020-01-21,#aushealth,1
2020-01-21,#theangrycanuck,1
2020-01-21,#cdc,1
2020-01-21,#goodmusic,1
2020-01-21,#meaning,1
2020-01-21,#coronavirushttps,1
2020-01-21,#btstour2020,1
2020-01-21,#silentwitness,1
2020-01-21,#davos2020,1
2020-01-22,#coronavirus,90
2020-01-22,#china,12
2020-01-22,#wuhan,7
2020-01-22,#news,4
2020-01-22,#sars,3
2020-01-22,#daangels,2
2020-01-22,#danation,2
2020-01-22,#trump2020,2
2020-01-22,#hongkong,2
2020-01-22,#chinapneumonia,2
2020-01-22,#virus,2
2020-01-22,#cdc,2
2020-01-22,#chinavirus,2
2020-01-22,#breaking,2
2020-01-22,#security,2
2020-01-22,#ph,1
2020-01-22,#new,1
2020-01-22,#northkorea,1
2020-01-22,#chears,1
2020-01-22,#nationalhugday,1
2020-01-23,#coronavirus,105
2020-01-23,#china,15
2020-01-23,#coronavirusoutbreak,14
2020-01-23,#wuhan,11
2020-01-23,#wuhancoronavirus,10
2020-01-23,#coronovirus,8
2020-01-23,#health,7
2020-01-23,#ncov,5
2020-01-23,#chinavirus,4
2020-01-23,#who,2
2020-01-23,#ccp,2
2020-01-23,#wallst,2
2020-01-23,#pneumonia,2
2020-01-23,#travel,2
2020-01-23,#coronavirushttps,2
2020-01-23,#news,2
2020-01-23,#stocks,2
2020-01-23,#trading,2
2020-01-23,#endego,2
2020-01-23,#plagueinc,2
