Category: All categories

Week,Pollution: (Worldwide)
2020-01-05,70
2020-01-12,85
2020-01-19,75
2020-01-26,72
2020-02-02,72
2020-02-09,72
2020-02-16,76
2020-02-23,78
2020-03-01,91
2020-03-08,78
2020-03-15,93
2020-03-22,100
2020-03-29,85
2020-04-05,75
2020-04-12,78
2020-04-19,89
2020-04-26,81
2020-05-03,86
2020-05-10,78
2020-05-17,69
2020-05-24,63
2020-05-31,76
2020-06-07,66
2020-06-14,54
2020-06-21,49
2020-06-28,44
2020-07-05,42
2020-07-12,41
2020-07-19,42
2020-07-26,39
2020-08-02,38
2020-08-09,44
2020-08-16,47
2020-08-23,51
2020-08-30,54
2020-09-06,61
2020-09-13,62
2020-09-20,65
2020-09-27,62
2020-10-04,66
2020-10-11,70
2020-10-18,70
2020-10-25,70
2020-11-01,65
2020-11-08,72
2020-11-15,71
2020-11-22,69
2020-11-29,73
2020-12-06,66
2020-12-13,63
2020-12-20,41
2020-12-27,39
2021-01-03,47
2021-01-10,56
2021-01-17,61
2021-01-24,60
2021-01-31,59
2021-02-07,61
2021-02-14,63
2021-02-21,78
2021-02-28,78
2021-03-07,73
2021-03-14,83
2021-03-21,75
2021-03-28,60
2021-04-04,66
2021-04-11,70
