Category: All categories

Week,Unemployment: (Worldwide)
2020-01-05,11
2020-01-12,11
2020-01-19,11
2020-01-26,10
2020-02-02,11
2020-02-09,13
2020-02-16,11
2020-02-23,10
2020-03-01,11
2020-03-08,13
2020-03-15,50
2020-03-22,77
2020-03-29,100
2020-04-05,91
2020-04-12,89
2020-04-19,82
2020-04-26,78
2020-05-03,68
2020-05-10,63
2020-05-17,62
2020-05-24,57
2020-05-31,55
2020-06-07,50
2020-06-14,48
2020-06-21,50
2020-06-28,50
2020-07-05,50
2020-07-12,48
2020-07-19,50
2020-07-26,49
2020-08-02,48
2020-08-09,47
2020-08-16,41
2020-08-23,42
2020-08-30,43
2020-09-06,42
2020-09-13,42
2020-09-20,36
2020-09-27,35
2020-10-04,32
2020-10-11,31
2020-10-18,30
2020-10-25,27
2020-11-01,26
2020-11-08,28
2020-11-15,28
2020-11-22,24
2020-11-29,28
2020-12-06,28
2020-12-13,27
2020-12-20,31
2020-12-27,37
2021-01-03,41
2021-01-10,36
2021-01-17,39
2021-01-24,36
2021-01-31,36
2021-02-07,31
2021-02-14,30
2021-02-21,30
2021-02-28,31
2021-03-07,33
2021-03-14,32
2021-03-21,31
2021-03-28,29
2021-04-04,29
2021-04-11,30
